target,Treatment,sex,ID,log_fold_change
KAT5,ecig3,m,10,-0.1582626670363942
KAT5,ecig3,m,11,-0.12695554748734036
KAT5,ecig6,m,12,0.15933487567495008
KAT5,ecig6,m,13,-0.07011500350006764
KAT5,ecig6,m,14,0.05933572141533092
KAT5,control,f,15,0
KAT5,control,f,16,-0.06691457299816644
KAT5,control,f,17,-0.05821239788351168
KAT5,ecig0,f,18,0.05000367113774924
KAT5,ecig0,f,19,0.034088997944983275
KAT5,ecig0,f,20,0.022545822143250595
KAT5,ecig3,f,21,-0.13787059410012098
KAT5,ecig3,f,22,0.008430886882560931
KAT5,ecig3,f,23,-0.13627874748304875
KAT5,ecig3,f,24,-0.09197435684120608
KAT5,ecig6,f,25,-0.04149024183037734
KAT5,ecig6,f,26,0.08692987679186776
KAT5,ecig6,f,27,-0.11353996511257694
MED1,control,m,2,0.024130925688418188
MED1,control,m,3,0.060366508326483936
MED1,control,m,4,0.02896317959081673
MED1,ecig0,m,5,0.5020611983043389
MED1,ecig0,m,6,0.6475113664592829
MED1,ecig0,m,7,-0.22097413882310168
MED1,ecig3,m,8,-0.16156225681886652
MED1,ecig3,m,9,-0.22447752591263845
MED1,ecig3,m,10,-0.1520497089558844
MED1,ecig3,m,11,-0.10569108962363237
MED1,ecig6,m,12,0.1832216058308864
MED1,ecig6,m,13,0.057486795181963646
MED1,ecig6,m,14,0.3548917876381589
MED1,control,f,15,0
MED1,control,f,16,-0.13489798309893763
MED1,control,f,17,-0.06288769474616876
MED1,ecig0,f,18,0.09288659814006626
MED1,ecig0,f,19,0.23738087564677876
MED1,ecig0,f,20,0.32137709471890274
MED1,ecig3,f,21,-0.2641860916106798
MED1,ecig3,f,22,-0.17181563950117773
MED1,ecig3,f,23,-0.2950841113956259
MED1,ecig3,f,24,-0.2858518224586063
MED1,ecig6,f,25,-0.1275122723613217
MED1,ecig6,f,26,-0.0939322559330045
MED1,ecig6,f,27,-0.13220382484374413
MED12,control,m,2,0.04282217914919119
MED12,control,m,3,0.047562799520908215
MED12,control,m,4,0.1460801035238717
MED12,ecig0,m,5,0.1281214366605466
MED12,ecig0,m,6,-0.6860837245416896
MED12,ecig0,m,7,1.2636178990329197
MED12,ecig3,m,8,0.037122657829287344
MED12,ecig3,m,9,0.23700657495017022
MED12,ecig3,m,10,0.1881193036543402
MED12,ecig3,m,11,0.06499803542777226
MED12,ecig6,m,12,-0.03980459426665737
MED12,ecig6,m,13,-0.953393604417374
MED12,ecig6,m,14,-0.4008169237766562
MED12,control,f,15,0
MED12,control,f,16,0.0767167719229765
MED12,control,f,17,0.04591839306659478
MED12,ecig0,f,18,-0.4842050622575374
MED12,ecig0,f,19,-0.3095472781552988
MED12,ecig0,f,20,0.13673131597853014
MED12,ecig3,f,21,0.08899644771209923
MED12,ecig3,f,22,0.22878664988856973
MED12,ecig3,f,23,0.16092003942611646
MED12,ecig3,f,24,0.28780297847850334
MED12,ecig6,f,25,-0.016291321923341453
MED12,ecig6,f,26,-0.040739954669184016
MED12,ecig6,f,27,-0.28587512218027133
MED13,control,m,2,0.07989613032517982
MED13,control,m,3,0.11674942651434778
MED13,control,m,4,0.14315379093602135
MED13,ecig0,m,5,0.029405874302439416
MED13,ecig0,m,6,0.011285975773436848
MED13,ecig0,m,7,0.931955693070163
MED13,ecig3,m,8,-0.1301004078520417
MED13,ecig3,m,9,-0.16170855739675988
MED13,ecig3,m,10,-0.1175775600324193
MED13,ecig3,m,11,-0.06610143077387876
MED13,ecig6,m,12,0.15578422687609256
MED13,ecig6,m,13,-0.1511086289834406
MED13,ecig6,m,14,0.2192798818015045
MED13,control,f,15,0
MED13,control,f,16,-0.08528101509361674
MED13,control,f,17,-0.0780933218871482
MED13,ecig0,f,18,0.032193833504281684
MED13,ecig0,f,19,0.04466388066266366
MED13,ecig0,f,20,-0.06562074607680313
MED13,ecig3,f,21,-0.18773741700184207
MED13,ecig3,f,22,-0.12165772059364977
MED13,ecig3,f,23,-0.21002868818075873
MED13,ecig3,f,24,-0.2713229107478801
MED13,ecig6,f,25,-0.1340009739178586
MED13,ecig6,f,26,-0.07929015694390881
MED13,ecig6,f,27,-0.18541057554735643
MED14,control,m,2,-0.07995200149237662
MED14,control,m,3,-0.06640203932754847
MED14,control,m,4,-0.04526660291998202
MED14,ecig0,m,5,0.24796147793437728
MED14,ecig0,m,6,-0.3521752327512883
MED14,ecig0,m,7,-0.41397831642308036
MED14,ecig3,m,8,-0.3151871955360619
MED14,ecig3,m,9,-0.21343905700163596
MED14,ecig3,m,10,-0.14944007992347297
MED14,ecig3,m,11,-0.11572472040910763
MED14,ecig6,m,12,0.11295638836298309
MED14,ecig6,m,13,-0.21291640872316422
MED14,ecig6,m,14,0.2018102080631373
MED14,control,f,15,0
MED14,control,f,16,-0.24271669252592226
MED14,control,f,17,-0.2175900198178452
MED14,ecig0,f,18,0.07472846880161572
MED14,ecig0,f,19,0.12627100527719945
MED14,ecig0,f,20,-0.015598591697319
MED14,ecig3,f,21,-0.29155363160647835
MED14,ecig3,f,22,-0.23484168763335464
MED14,ecig3,f,23,-0.2531184227900967
MED14,ecig3,f,24,-0.29401936830096087
MED14,ecig6,f,25,-0.15681272595927853
MED14,ecig6,f,26,-0.11175865021623459
MED14,ecig6,f,27,-0.29218832324933647
MED16,control,m,2,0.02305173315396361
MED16,control,m,3,0.0035492038548775025
MED16,control,m,4,-0.042337882092167066
MED16,ecig0,m,5,-0.002136951733218805
MED16,ecig0,m,6,0.3463118909077441
MED16,ecig0,m,7,-0.08839571225275408
MED16,ecig3,m,8,0.12658907357061744
MED16,ecig3,m,9,-0.05974849374538683
MED16,ecig3,m,10,-0.08967087531438633
MED16,ecig3,m,11,-0.08816572533606672
MED16,ecig6,m,12,0.14360515531151996
MED16,ecig6,m,13,0.19015071427108007
MED16,ecig6,m,14,0.2227995245108078
MED16,control,f,15,0
MED16,control,f,16,-0.08835964885927244
MED16,control,f,17,0.06726443005912806
MED16,ecig0,f,18,-0.09685471533691027
MED16,ecig0,f,19,0.020656738508460927
MED16,ecig0,f,20,0.12265605647126954
MED16,ecig3,f,21,-0.2366343212575336
MED16,ecig3,f,22,-0.12114295930106458
MED16,ecig3,f,23,0.0204714846491301
MED16,ecig3,f,24,-0.4608878206473979
MED16,ecig6,f,25,0.06287174015639824
MED16,ecig6,f,26,-0.05757415408670489
MED16,ecig6,f,27,-0.17987914937703106
MED17,control,m,2,0.0571665594725761
MED17,control,m,3,0.27065040973756743
MED17,control,m,4,0.1951708710967712
MED17,ecig0,m,5,0.3147624422121808
MED17,ecig0,m,6,-0.9051137514467931
MED17,ecig0,m,7,-1.68430894353531
MED17,ecig3,m,8,0.42135674223480163
MED17,ecig3,m,9,0.4270763121524179
MED17,ecig3,m,10,0.311661411814848
MED17,ecig3,m,11,0.30142639196227194
MED17,ecig6,m,12,0.09826913487453738
MED17,ecig6,m,13,0.006069065742582
MED17,ecig6,m,14,0.14720457096967388
MED17,control,f,15,0
MED17,control,f,16,0.2570114631060228
MED17,control,f,17,0.13340493452644395
MED17,ecig0,f,18,0.16389746690723112
MED17,ecig0,f,19,0.21624405450123307
MED17,ecig0,f,20,0.4814537083031688
MED17,ecig3,f,21,0.35990809127990425
MED17,ecig3,f,22,0.2774008869783341
MED17,ecig3,f,23,0.4249073910336592
MED17,ecig3,f,24,0.34872874033093276
MED17,ecig6,f,25,0.002562487735090255
MED17,ecig6,f,26,0.039642579922991694
MED17,ecig6,f,27,0.11194655313952934
MED24,control,m,2,0.325401745348931
MED24,control,m,3,-0.1926191000295245
MED24,control,m,4,0.16203589741404467
MED24,ecig0,m,5,0.7956512376254858
MED24,ecig0,m,6,1.2746859892954963
MED24,ecig0,m,7,0.4954907972069792
MED24,ecig3,m,8,-0.10299596807245225
MED24,ecig3,m,9,-0.18246788692774313
MED24,ecig3,m,10,-0.18589962887831202
MED24,ecig3,m,11,-0.6413580123179149
MED24,ecig6,m,12,-0.013287162978611735
MED24,ecig6,m,13,-0.10602968816275407
MED24,ecig6,m,14,0.40883214844120547
MED24,control,f,15,0
MED24,control,f,16,-0.055942029656212686
MED24,control,f,17,-0.25285177041993573
MED24,ecig0,f,18,0.36833325859254923
MED24,ecig0,f,19,0.20951181967820395
MED24,ecig0,f,20,0.3960358449735229
MED24,ecig3,f,21,-0.06876554623550575
MED24,ecig3,f,22,-0.3997967933273502
MED24,ecig3,f,23,-0.2302503781394874
MED24,ecig3,f,24,-0.3379995496374717
MED24,ecig6,f,25,-0.29157753338813425
MED24,ecig6,f,26,-0.2955919489983091
MED24,ecig6,f,27,-0.5829519919411925
MED4,control,m,2,0.0014447031551897388
MED4,control,m,3,-0.09355735317640505
MED4,control,m,4,0.0025839210707817866
MED4,ecig0,m,5,0.23214084651225625
MED4,ecig0,m,6,0.12434320918496733
MED4,ecig0,m,7,-0.5280129942305313
MED4,ecig3,m,8,-0.05213574618504018
MED4,ecig3,m,9,-0.04942647622406418
MED4,ecig3,m,10,-0.12510541713398918
MED4,ecig3,m,11,-0.07182310790146461
MED4,ecig6,m,12,0.24894066830427264
MED4,ecig6,m,13,0.0012528868419537603
MED4,ecig6,m,14,0.43593026659088474
MED4,control,f,15,0
MED4,control,f,16,-0.03181748580370227
MED4,control,f,17,-0.09550008035642121
MED4,ecig0,f,18,0.06909890685270365
MED4,ecig0,f,19,0.13423957029242092
MED4,ecig0,f,20,0.07503822866715366
MED4,ecig3,f,21,-0.1228507024664668
MED4,ecig3,f,22,-0.05793448699151506
MED4,ecig3,f,23,-0.1100183958113014
MED4,ecig3,f,24,-0.15829848960587653
MED4,ecig6,f,25,-0.01430000850202427
MED4,ecig6,f,26,-0.15717594875204657
MED4,ecig6,f,27,-0.10166523487362018
MTA1,control,m,2,-0.01993535022685327
MTA1,control,m,3,0.13949946740665733
MTA1,control,m,4,0.014236792202935061
MTA1,ecig0,m,5,-0.20348477772301787
MTA1,ecig0,m,6,0.17846268283543304
MTA1,ecig0,m,7,-1.5819325553999346
MTA1,ecig3,m,8,0.24377523440267476
MTA1,ecig3,m,9,0.2768885339257125
MTA1,ecig3,m,10,0.28068151187107937
MTA1,ecig3,m,11,0.22228169271226625
MTA1,ecig6,m,12,-0.05283377453898504
MTA1,ecig6,m,13,-0.7146735065258835
MTA1,ecig6,m,14,-0.10519643713475728
MTA1,control,f,15,0
MTA1,control,f,16,0.10353613629667106
MTA1,control,f,17,0.021022610365191898
MTA1,ecig0,f,18,0.15047393734058132
MTA1,ecig0,f,19,0.23156106274060714
MTA1,ecig0,f,20,0.015091717390619411
MTA1,ecig3,f,21,0.26234125938524994
MTA1,ecig3,f,22,0.28603141695401885
MTA1,ecig3,f,23,0.30458600279675996
MTA1,ecig3,f,24,0.22073861295449465
MTA1,ecig6,f,25,0.04405796748739033
MTA1,ecig6,f,26,0.10701008265263329
MTA1,ecig6,f,27,0.027564232994965722
NCOA1,control,m,2,0.0140482270136496
NCOA1,control,m,3,0.048495390447474536
NCOA1,control,m,4,-0.0036206081698481134
NCOA1,ecig0,m,5,-0.1944999354424339
NCOA1,ecig0,m,6,-0.5737772599393448
NCOA1,ecig0,m,7,-0.9061987839631643
NCOA1,ecig3,m,8,-0.010344353947000893
NCOA1,ecig3,m,9,-0.03382469360879125
NCOA1,ecig3,m,10,0.0012754038856294865
NCOA1,ecig3,m,11,-0.05290999533388816
NCOA1,ecig6,m,12,0.07337455629311727
NCOA1,ecig6,m,13,-0.06766973684528876
NCOA1,ecig6,m,14,-0.052122440659231405
NCOA1,control,f,15,0
NCOA1,control,f,16,-0.02676830968643114
NCOA1,control,f,17,0.049099076000780666
NCOA1,ecig0,f,18,6.377621488135204e-4
NCOA1,ecig0,f,19,0.1300961934321013
NCOA1,ecig0,f,20,0.014221439673155345
NCOA1,ecig3,f,21,-0.03153144710182391
NCOA1,ecig3,f,22,-0.0460820329722378
NCOA1,ecig3,f,23,-0.20876014777903154
NCOA1,ecig3,f,24,-0.0501275750839644
NCOA1,ecig6,f,25,-0.1732676275822632
NCOA1,ecig6,f,26,-0.15804833367948035
NCOA1,ecig6,f,27,-0.17112850843307484
NCOA2,control,m,2,-3.369764931766099
NCOA2,control,m,3,-0.11416857594952236
NCOA2,control,m,4,-0.16460693440101024
NCOA2,ecig0,m,5,0.15451574668036516
NCOA2,ecig0,m,6,-0.3544838317880342
NCOA2,ecig0,m,7,-2.073847778524415
NCOA2,ecig3,m,8,-0.1743876397841299
NCOA2,ecig3,m,9,-0.24543071876082964
NCOA2,ecig3,m,10,-0.12724634246315014
NCOA2,ecig3,m,11,-0.21725431116668034
NCOA2,ecig6,m,12,0.026641756676254198
NCOA2,ecig6,m,13,-0.4914161153916698
NCOA2,ecig6,m,14,-0.23301949286360021
NCOA2,control,f,15,0
NCOA2,control,f,16,-0.1557689947583115
NCOA2,control,f,17,-0.21113503362082192
NCOA2,ecig0,f,18,-0.1913844556053083
NCOA2,ecig0,f,19,-0.07944837830962968
NCOA2,ecig0,f,20,-0.2170713451353155
NCOA2,ecig3,f,21,-0.33912329461128765
NCOA2,ecig3,f,22,-0.2720809042769626
NCOA2,ecig3,f,23,-0.31911774418944544
NCOA2,ecig3,f,24,-0.3652945414043166
NCOA2,ecig6,f,25,-0.2976902484800864
NCOA2,ecig6,f,26,-0.3805052860552222
NCOA2,ecig6,f,27,-0.3292845506450037
NCOA3,control,m,2,-0.08658248817687163
NCOA3,control,m,3,-0.02338906736710464
NCOA3,control,m,4,-0.03685311557116844
NCOA3,ecig0,m,5,-0.27068069335513006
NCOA3,ecig0,m,6,-0.5906746756559559
NCOA3,ecig0,m,7,-1.369869867744473
NCOA3,ecig3,m,8,-0.11762421968174815
NCOA3,ecig3,m,9,-0.12274172960803571
NCOA3,ecig3,m,10,-0.0804169122176791
NCOA3,ecig3,m,11,-0.2182886502317831
NCOA3,ecig6,m,12,-0.29700311741198354
NCOA3,ecig6,m,13,-0.2797450677605685
NCOA3,ecig6,m,14,0.14738880132702034
NCOA3,control,f,15,0
NCOA3,control,f,16,-0.09345548462587225
NCOA3,control,f,17,-0.04646741157268479
NCOA3,ecig0,f,18,-0.3458585999402721
NCOA3,ecig0,f,19,-0.3527495979830153
NCOA3,ecig0,f,20,-0.48629029703750315
NCOA3,ecig3,f,21,-0.3827500667328903
NCOA3,ecig3,f,22,-0.10395143727869015
NCOA3,ecig3,f,23,-0.13000859370336396
NCOA3,ecig3,f,24,-0.1574297170383902
NCOA3,ecig6,f,25,-0.30068369075696927
NCOA3,ecig6,f,26,-0.26826534908192007
NCOA3,ecig6,f,27,-0.43289967721253814
NCOA4,control,m,2,-0.09879316789098826
NCOA4,control,m,3,0.05575773909286961
NCOA4,control,m,4,0.022629508482047794
NCOA4,ecig0,m,5,-0.025643179974636183
NCOA4,ecig0,m,6,-0.017937715175625875
NCOA4,ecig0,m,7,-0.6356450650602048
NCOA4,ecig3,m,8,0.2898647329188056
NCOA4,ecig3,m,9,-0.011466292740839913
NCOA4,ecig3,m,10,0.04651208442404359
NCOA4,ecig3,m,11,0.06156358420724173
NCOA4,ecig6,m,12,0.12903018601145788
NCOA4,ecig6,m,13,-0.19034668479825662
NCOA4,ecig6,m,14,0.2808597818345126
NCOA4,control,f,15,0
NCOA4,control,f,16,-0.16588480673260406
NCOA4,control,f,17,-0.0976437149555438
NCOA4,ecig0,f,18,-0.22830608560349164
NCOA4,ecig0,f,19,0.08143800596297184
NCOA4,ecig0,f,20,0.11533922139666107
NCOA4,ecig3,f,21,0.15827880224416102
NCOA4,ecig3,f,22,-0.09555270039966432
NCOA4,ecig3,f,23,0.07257797071859202
NCOA4,ecig3,f,24,-0.07216447591654558
NCOA4,ecig6,f,25,-0.20574454969446762
NCOA4,ecig6,f,26,-0.11338120189286188
NCOA4,ecig6,f,27,-0.02374994212590696
NCOA6,control,m,2,0.150839869403311
NCOA6,control,m,3,0.02970299090816041
NCOA6,control,m,4,0.1054127572896422
NCOA6,ecig0,m,5,-0.7578495765379772
NCOA6,ecig0,m,6,-0.2788148248679668
NCOA6,ecig0,m,7,1.1674948069974718
NCOA6,ecig3,m,8,0.23547674051220643
NCOA6,ecig3,m,9,0.09971221246775183
NCOA6,ecig3,m,10,0.20946774888683917
NCOA6,ecig3,m,11,0.08333618070363094
NCOA6,ecig6,m,12,-0.1294404898955462
NCOA6,ecig6,m,13,-0.4032805532611691
NCOA6,ecig6,m,14,-1.1446686657222576
NCOA6,control,f,15,0
NCOA6,control,f,16,0.15682777745906223
NCOA6,control,f,17,0.016086621526290205
NCOA6,ecig0,f,18,-0.34732973352908203
NCOA6,ecig0,f,19,-0.3148803255584819
NCOA6,ecig0,f,20,-0.1346041778231692
NCOA6,ecig3,f,21,-0.024579159351963874
NCOA6,ecig3,f,22,0.11556655924938554
NCOA6,ecig3,f,23,0.16854121582634285
NCOA6,ecig3,f,24,0.180143212889229
NCOA6,ecig6,f,25,0.09852482975285429
NCOA6,ecig6,f,26,-0.5444943864931326
NCOA6,ecig6,f,27,-0.24476917524235786
NCOR1,control,m,2,0.08962421566505749
NCOR1,control,m,3,0.1599670988718428
NCOR1,control,m,4,0.13460724832912555
NCOR1,ecig0,m,5,0.13986973430132496
NCOR1,ecig0,m,6,0.16570894500913752
NCOR1,ecig0,m,7,1.0084832375378656
NCOR1,ecig3,m,8,-0.11368915557842828
NCOR1,ecig3,m,9,-0.059804786354575055
NCOR1,ecig3,m,10,-0.02982219878644284
NCOR1,ecig3,m,11,-0.02350056887749902
NCOR1,ecig6,m,12,0.17047509272448677
NCOR1,ecig6,m,13,-0.15933096228500565
NCOR1,ecig6,m,14,0.3394161365910694
NCOR1,control,f,15,0
NCOR1,control,f,16,-0.043869221680109614
NCOR1,control,f,17,0.010324305349290715
NCOR1,ecig0,f,18,0.06932437831945566
NCOR1,ecig0,f,19,0.06524590352620141
NCOR1,ecig0,f,20,0.09201421321263256
NCOR1,ecig3,f,21,-0.10144024505486147
NCOR1,ecig3,f,22,-0.023446985538271334
NCOR1,ecig3,f,23,-0.11489688792103205
NCOR1,ecig3,f,24,-0.15228451235250196
NCOR1,ecig6,f,25,-0.11266246267521707
NCOR1,ecig6,f,26,0.005605118313265217
NCOR1,ecig6,f,27,-0.09263584015367816
NCOR2,control,m,2,0.06433197645936502
NCOR2,control,m,3,-0.0443338313754183
NCOR2,control,m,4,0.15666582332139536
NCOR2,ecig0,m,5,0.09098848360540701
NCOR2,ecig0,m,6,-0.14081093468576744
NCOR2,ecig0,m,7,-0.13803375235776955
NCOR2,ecig3,m,8,0.14387000150170512
NCOR2,ecig3,m,9,-0.006946026325949832
NCOR2,ecig3,m,10,0.04410866093866215
NCOR2,ecig3,m,11,-0.07841054729657923
NCOR2,ecig6,m,12,0.1334441888378785
NCOR2,ecig6,m,13,0.34596263590677434
NCOR2,ecig6,m,14,0.052996932796634755
NCOR2,control,f,15,0
NCOR2,control,f,16,-0.05203676752246522
NCOR2,control,f,17,-0.07740486628706393
NCOR2,ecig0,f,18,-0.013705113024591513
NCOR2,ecig0,f,19,-0.01635219018846375
NCOR2,ecig0,f,20,0.01810201734726072
NCOR2,ecig3,f,21,-0.2613807930810867
NCOR2,ecig3,f,22,0.0012781131555900597
NCOR2,ecig3,f,23,-0.3833042629549074
NCOR2,ecig3,f,24,-0.2795223657697747
NCOR2,ecig6,f,25,0.0011527642653958584
NCOR2,ecig6,f,26,0.08431211994957358
NCOR2,ecig6,f,27,-0.1263337399282953
NFKB2,control,m,2,0.07965169396870073
NFKB2,control,m,3,0.11060540430284538
NFKB2,control,m,4,0.1610939745576117
NFKB2,ecig0,m,5,-0.5511852597947597
NFKB2,ecig0,m,6,0.398062258492333
NFKB2,ecig0,m,7,-0.7007358779326415
NFKB2,ecig3,m,8,0.17726175377073172
NFKB2,ecig3,m,9,0.05052812559619577
NFKB2,ecig3,m,10,0.153661002110676
NFKB2,ecig3,m,11,0.07960762317733595
NFKB2,ecig6,m,12,0.2985735908993631
NFKB2,ecig6,m,13,-0.02745122633459468
NFKB2,ecig6,m,14,0.40503284886592944
NFKB2,control,f,15,0
NFKB2,control,f,16,-0.005460503503346936
NFKB2,control,f,17,0.10413789525800483
NFKB2,ecig0,f,18,-0.051262518373618345
NFKB2,ecig0,f,19,-0.2127844973790649
NFKB2,ecig0,f,20,-0.15897195391217694
NFKB2,ecig3,f,21,-0.06846632241981619
NFKB2,ecig3,f,22,-0.019639257123117752
NFKB2,ecig3,f,23,-0.13145865519247713
NFKB2,ecig3,f,24,-0.1159194868163014
NFKB2,ecig6,f,25,0.04632622850471864
NFKB2,ecig6,f,26,-0.07044800288127083
NFKB2,ecig6,f,27,-0.08750719211755134
NONO,control,m,2,0.15591704131017978
NONO,control,m,3,0.44471438207035974
NONO,control,m,4,0.45639536940410824
NONO,ecig0,m,5,0.17841752833608518
NONO,ecig0,m,6,0.25575965997205213
NONO,ecig0,m,7,-0.2580529064790206
NONO,ecig3,m,8,0.4586513483976121
NONO,ecig3,m,9,0.12962556313688073
NONO,ecig3,m,10,0.22312547979011357
NONO,ecig3,m,11,0.2475089094388959
NONO,ecig6,m,12,-0.07100725640721527
NONO,ecig6,m,13,0.4277064281393409
NONO,ecig6,m,14,0.6214111025392299
NONO,control,f,15,0
NONO,control,f,16,0.3415153993688323
NONO,control,f,17,0.295442758532461
NONO,ecig0,f,18,0.3715485599762357
NONO,ecig0,f,19,0.14566576583783825
NONO,ecig0,f,20,0.5469418807698809
NONO,ecig3,f,21,0.21639565320704893
NONO,ecig3,f,22,0.13796078268682027
NONO,ecig3,f,23,0.13827897139223802
NONO,ecig3,f,24,0.02295979859328936
NONO,ecig6,f,25,-0.12528374730342012
NONO,ecig6,f,26,0.37165458274071017
NONO,ecig6,f,27,0.2112575528290591
NOTCH2,control,m,2,0.009296167502098386
NOTCH2,control,m,3,-0.1258687087909942
NOTCH2,control,m,4,-0.04149650325428542
NOTCH2,ecig0,m,5,0.003542882224969548
NOTCH2,ecig0,m,6,-0.03482790617234003
NOTCH2,ecig0,m,7,-1.7503633534238663
NOTCH2,ecig3,m,8,0.11538142580205228
NOTCH2,ecig3,m,9,3.87967458412048e-4
NOTCH2,ecig3,m,10,0.0953930340899645
NOTCH2,ecig3,m,11,-0.0054520144574694545
NOTCH2,ecig6,m,12,-0.11194853993749934
NOTCH2,ecig6,m,13,-1.0055479542561443
NOTCH2,ecig6,m,14,-0.7965229602869288
NOTCH2,control,f,15,0
NOTCH2,control,f,16,-0.17032469813865272
NOTCH2,control,f,17,-0.2522175002190721
NOTCH2,ecig0,f,18,-0.6235635874202259
NOTCH2,ecig0,f,19,-0.12543733280720815
NOTCH2,ecig0,f,20,-0.2871147034964152
NOTCH2,ecig3,f,21,-0.10037550196019761
NOTCH2,ecig3,f,22,-0.054192985175407146
NOTCH2,ecig3,f,23,-0.08097321564966584
NOTCH2,ecig3,f,24,-0.09722401893558902
NOTCH2,ecig6,f,25,-0.16595591001758087
NOTCH2,ecig6,f,26,-0.43405400683390943
NOTCH2,ecig6,f,27,-0.4208542629660388
NR0B1,control,m,2,0.08103582988876412
NR0B1,control,m,3,0.5474297299808536
NR0B1,control,m,4,0.3033333567788046
NR0B1,ecig0,m,5,1.6771134235489549
NR0B1,ecig0,m,6,2.1561481752189655
NR0B1,ecig0,m,7,1.3769529831304481
NR0B1,ecig3,m,8,0.2004886261761723
NR0B1,ecig3,m,9,0.8474020868580692
NR0B1,ecig3,m,10,-0.16809250051480495
NR0B1,ecig3,m,11,0.027878026662445623
NR0B1,ecig6,m,12,0.8681750229448572
NR0B1,ecig6,m,13,0.9675799439930344
NR0B1,ecig6,m,14,1.2902943343646742
NR0B1,control,f,15,0
NR0B1,control,f,16,0.1974984350232442
NR0B1,control,f,17,0.03055111281794454
NR0B1,ecig0,f,18,1.6469352868956397
NR0B1,ecig0,f,19,1.0909740056016728
NR0B1,ecig0,f,20,1.493981645068775
NR0B1,ecig3,f,21,0.9554134554822779
NR0B1,ecig3,f,22,0.5214850383625587
NR0B1,ecig3,f,23,0.8928521976634093
NR0B1,ecig3,f,24,0.9150844669631759
NR0B1,ecig6,f,25,0.2442721145135181
NR0B1,ecig6,f,26,0.4910301347312308
NR0B1,ecig6,f,27,0.32081952696093335
NR0B2,control,m,2,-0.5712317502960116
NR0B2,control,m,3,-0.10483785020392208
NR0B2,control,m,4,-0.5230096348785988
NR0B2,ecig0,m,5,1.024845843364179
NR0B2,ecig0,m,6,1.5038805950341896
NR0B2,ecig0,m,7,0.7246854029456724
NR0B2,ecig3,m,8,0.0837534082776202
NR0B2,ecig3,m,9,0.9383775659676623
NR0B2,ecig3,m,10,-0.13521581056835844
NR0B2,ecig3,m,11,0.2669602636387199
NR0B2,ecig6,m,12,0.21590744276008145
NR0B2,ecig6,m,13,0.12316491757593921
NR0B2,ecig6,m,14,0.6380267541798986
NR0B2,control,f,15,0
NR0B2,control,f,16,-0.4547691451615314
NR0B2,control,f,17,-0.17923428292032034
NR0B2,ecig0,f,18,0.9391872764499999
NR0B2,ecig0,f,19,0.43870642541689714
NR0B2,ecig0,f,20,0.6252304507122162
NR0B2,ecig3,f,21,0.16797377428451477
NR0B2,ecig3,f,22,0.4798077364928758
NR0B2,ecig3,f,23,0.6683681092968635
NR0B2,ecig3,f,24,0.43941854197464025
NR0B2,ecig6,f,25,-0.40799546567125755
NR0B2,ecig6,f,26,-0.16123744545354488
NR0B2,ecig6,f,27,0.8442276051417927
NR1D1,control,m,2,0.011487665870531596
NR1D1,control,m,3,0.03412933596440307
NR1D1,control,m,4,0.08235867610171069
NR1D1,ecig0,m,5,-0.2586572542983153
NR1D1,ecig0,m,6,-0.06837468888913577
NR1D1,ecig0,m,7,-0.5235137999153378
NR1D1,ecig3,m,8,-0.05673999996872026
NR1D1,ecig3,m,9,-0.3336875959795834
NR1D1,ecig3,m,10,-0.015619302561021061
NR1D1,ecig3,m,11,-0.12459216099138169
NR1D1,ecig6,m,12,-0.5730608687556636
NR1D1,ecig6,m,13,-0.7977773522788614
